Description,ASIN,Manufacturer,Product Info
"['Genuine Leather: This laptop bag for men / office bag for men/Laptop Backpack is made of 100% Full Grain Genuine Leather, making it the perfect accessory for office, travel, and daily use. The high-quality leather not only ensures longevity but also adds a touch of elegance to your style. We will gladly reward 100 Times the value of the product upon certification from any accredited labs like ""SGS"" or ""CLRI"" if proven otherwise.', 'Spacious and Organized: The HAMMONDS FLYCATCHER Shoulder Bag for Men offers ample space and smart organization. With its 1 main compartment, padded laptop compartment, inner zipper pocket, mobile pocket, wallet pocket, pen slots, front pockets, side pockets, and back zipper pocket, this bag keeps your belongings organized. Dimensions: 40cm (L) x 14cm (W) x 30cm (H). Perfect as a shoulder bag for travel and a laptop bag for men.', 'Water-Resistant and Travel-Friendly: The HAMMONDS FLYCATCHER Office Bag for Men, a leather bag for men, is water-resistant and travel-friendly. It features comfortable leather handles and padded, removable, adjustable shoulder straps for convenient carrying during your daily commute or travel adventures.', 'Perfectly Fits Your Laptop: The HAMMONDS FLYCATCHER Messenger Bag, also serving as a shoulder bag, hand bag, and executive bag, is designed to accommodate 14/15.6/16-inch laptops, including MacBook and notebooks. This bag ensures a secure and snug fit for your valuable device, providing excellent protection during travel, work, or daily commutes. Its versatile design and functionality make it an ideal choice for professionals on the move.', ""Perfect Gift: This office bag for men / Hand Bag for Men is a great gifts for men / gift idea for Father's Day, Birthdays, Valentine's Day, Christmas, Graduation, Back To College Or Any Occasion Which Calls For A Gift. The Leather laptop bag / Hand Bag for Men makes a great gift for professionals, artists, students, and all sorts of officials.""]",LB190BRN,,"[{'Product': 'Genuine Leather', 'Additional Info': 'The Hammonds Flycatcher Laptop Messenger Bag is created out of genuine leatherette which only gets better with ageing. The shine on the surface is impeccable.'}, {'Product': 'Simple & Functioning Mechanism', 'Additional Info': 'This Laptop Messenger Bag Main Interior Compartment With front pocket with zip For Added Security And A Fully Lined Interior That Includes Zip Pocket And Slip Pockets For Organization.'}, {'Product': 'Superior Craftmanship', 'Additional Info': 'This product is constructed with quality thread & material, and it is crafted by a set of skilled labors. It is a backpack perfectly fitted for school, college, office or travel & adventures.'}, {'Product': 'Comfortable Handles', 'Additional Info': 'For carrying the bag easily, there are padded & strong shoulder straps that can carry more weight while providing you with comfort, with a strong handle'}, {'Product': 'Zip-Top Closure', 'Additional Info': 'It prevents your belongings from falling out. To improve the quality of this bag, we select the Heavy-duty Zipper that open and closes smoothly.'}, {'Product': 'Metal Hardware Accessories', 'Additional Info': 'All the hardware such as magnetic buttons, dog hooks, etc. of the bag is of heavy-duty metal that is durable enough for daily use.'}]"
,8904249606318,,"[{'Product': 'SMART, STYLISH, SOPHISTICATED !', 'Additional Info': 'Master the travel to and from work, with the ATLAS backpack. Designed for the ups and downs of daily office travel, ATLAS comes with features, design'}, {'Product': 'Inside Good ! Outside Good !', 'Additional Info': 'What makes your ATLAS ..BEST IN CLASS is whats inside it. Simply stunning mustard lining, smart organiser, multi compartments make the bag more beautiful inside ! Its unique sideways opening for the laptop copartment, makes it that more stylish and different at the same time making it more secure, than the usual top opening.'}, {'Product': 'First in category ""ANTI-TANGLE"" straps !', 'Additional Info': 'No more shabby looking, accident prone height adjustment straps hanging from your shoulder straps. Another BEST IN CLASS feature is the thoughtfully designed, first in category, unique ""ANTI-TANGLE"" height adjustment straps. The unique feature makes your ATLAS and you look good from every corner !'}]"
,BPDRPKEGRY,,"Stylish, affordable and Compact Daypack. Compact & Stylish 1 Compartment 1 Front Quick Access Drwastring Pocket Shoulder Strap Reinforcement"
,SB-02,,[]
,,,[]
"['Care Instructions: Hand Wash Only', 'SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort', 'COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.', 'SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm', 'ENDURING & LONG LASTING: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. INTERNAL ORGANISER: This backpack has an Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.', 'OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover , Internal Organiser, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Reflector Logo.']",bag for menं,,"Half Moon backpack is designed to be used everywhere you can use it as:- college bag(as it has numerous pockets inside), school bag(there is very large space inside the bag that can be used to carry numerous books), travel backpack(the volume of this backpack is 35 litres and that is enough for travelling), laptop bag(as it contains a laptop sleeve). It is navy in colour so that it will not become dirty easily it has padded straps to make it easy to carry. It is fully waterproof to protect your laptop, books etc from water and rain. The material used in this bag is dust-free so, that it can produce your backpack from dust. It has a rain cover which is very useful in the rainy season to protect your backpack from rain. It can be used everywhere as well as by everyone be it menं , womenं , boys and girls."
,BKPSPRIOR0001,,All Gear bag are manufactured from our self owned factories with specially trained manpower to ensure consistency in quality amd refined craftsmanship.
,NEO,,"Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders."
"['COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g', 'HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items', 'CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use', 'CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.', 'HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.']",DINY01,,"If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily."
,,,[]
"['Ease off your shoulders with the AmazonBasics- Casual Backpack that helps carry laptops and other essentials comfortably', '1 large compartment for keeping a laptop', 'The compartment can also be used for carrying personal belongings, other digital devices, books, notepads, etc.', 'Easily accessible front pocket for storing smaller items like phones, business cards, etc.', 'Made from water-resistant polyester fabric', 'Comfortable cushioned shoulder straps', 'Padded compartment at the back to support laptop', 'Dimensions and Weight: 45 cm (L) X 32 cm (B) X 13 cm (H); 0.460 grams']",B09W4WJ1CB,"FLAB INTERNATIONAL PRIVATE LIMITED, FLAB INTERNATIONAL PRIVATE LIMITED ,PLOT NO. 357 E, PACE CITY-2, SEC-37, GURGAON - 122001 (HARYANA) INDIA",[]
,RAPTORS-BACKPACK-1010,,"ROPTORS Large 35 L Backpack Unisex College School Travel Backpack Reflective Strip is the perfect backpack for the modern student. It has a large capacity for your books and other school supplies, as well as plenty of space for other items you may need during your day"
"['Care Instructions: Wipe with Damp Cloth', 'Fit Type: regular', 'Handcrafted with care and made up of premium quality robust material', 'GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty', 'Padded laptop compartment fits up to 15.6"" Laptop, Tablet Sleeve; Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side', 'Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Gadget Pocket; Internal Organiser']",3600EBP1BGE,,[]
"['Made up of long lasting durable water resistant & Waterproof Nylon Material. It is good to use as small Travel bags for women and ladies.', 'NORMAL DIMENSION:41 x 22 x 26 CM', 'ZIP CLOSURE - This travel duffel Bag comes with 2 inside small pocket + 1 Main pocket + 1 small Dry wet pocket + 1 Front Small Zipper Pocket. It is mostly suitavble for carry cosmetics and other essensial items with different pockets.', 'EASY TO CARRY - Handbag you can carry it by hand or carry it on your shoulder, or you can easily place it on your luggage through the fixed belt design on the back, which is convenient for storage and transportation, and makes travel more convenient.', 'WIDE RANGE OF APPLICATIONS - Waterproof dry bag gym, Sports, Travel, Weekend, Luggage, Carry-on Bag, Shopping Bag, Beach Bag, Hiking and Camping. Suitable for women, men, teens and big kids, great idea as personal item for airline travel and emergency spare bag in the suitcase.']",Pouch bag Sakura Pink,,"JD Fresh Travel Duffle Bag, Expandable Folding Travel Bag for Women, Lightweight Waterproof Carry Overnight Luggage Bag for Travel (Maroon,40 x 23 x 45cm)"
"['Care Instructions: Hand Wash Only', 'Fit Type: regular', '? PREMIUM MATERIAL: Made from high quality, waterproof hard EVA material. Premium quality smooth zippers, pullers, buckles.;Special Features: Locking; Style Name: Modern<br>', '? ORGANISED DESIGN: This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ Ipad. Spacious enough to hold your clothings, folders, documents etc. Also includes organised pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.<br>', '? ANTI- THEFT DESIGN & CAPACITY: One hidden zipper pocket equips on the back to pack your money, cards, wallet. This invisible design increases the security of your belongings. Dimensions: 30 cms x 8 cms x 45 cms (LxWxH). Capacity: 11 Lit<br>', '? USB FEATURE & TSA LOCK : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices. This backpack comes with a built-in TSA lock that gives the bag an added level of security. Helps deter thefts during travel.; ? TROLLEY STRAP : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling.; Age Range Description: Adult; Pattern Name: Solid; Theme: Sports<br>', 'Impact-resistant design. ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.<br>']",BG-22201,,"[{'Product': 'IMPACT-RESISTANT DESIGN', 'Additional Info': 'ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.'}, {'Product': 'ORGANISED DESIGN', 'Additional Info': 'This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ iPad. Spacious enough to hold your clothings, folders, documents etc. Also includes organized pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.'}, {'Product': 'HIGH QAULITY', 'Additional Info': 'This Laptop Bag is the perfect travel companion that delivers all the space you need to carry your belongings in style. This stylish case features a durable, laptop-shaped shape to keep your laptop safe and secure for the on-the-go professional.'}]"
"['Laptop backpack made from water-resistant, strong and durable polyester', 'Contains three large compartments, one easy-access front pocket, two side pockets with zipper, and two water-bottle pockets', 'Well-cushioned polyester pocket that stores up to 15.6-inch laptop', 'Cushioned shoulder strap for added comfort and well-padded back to provide support', 'Invisible and theft-resistant zipper pocket on the edge of the back panel protects valuable items such as earbuds, passports, and phone', '·Lightweight and convenient to carry in three, flexible ways', 'Dimensions: 45 x 30 x 17 cm (L x W x H)', 'Weight: 0.78 gms']",B09W4WB3K5,"FLAB INTERNATIONAL PRIVATE LIMITED, FLAB INTERNATIONAL PRIVATE LIMITED ,PLOT NO. 357 E, PACE CITY-2, SEC-37, GURGAON - 122001 (HARYANA) INDIA",[]
"['Premium Durable Material - Travel duffel bag is made of high quality,durable material.', 'Separate Shoes Compartment - Built-in extra shoes compartment with exterior zippers to keep your shoes and clean sport gears separate.', 'Multi-Purpose & Any Occasions - Perfect Duffle Bag for hiking, family holiday, vacation, sports, a short trip, gym, work, beach, used as a overnight bag, a short journey bag, a weekender bag, gym bag, sports duffel bag.', 'Detachable Belts - Removable Belts for Multi-Purpose use.', 'Abundance of Storage - Large capacity,meet your requirement for sure and keep your stuff in order. What an amazing design for Sport Bag!']",B07ZC77WTW,,"[{'Product': '19 Inches Bag', 'Additional Info': ''}, {'Product': 'Double Shaded Zippers', 'Additional Info': ''}, {'Product': 'Extra Side Pockets', 'Additional Info': ''}]"
"['Care Instructions: Machine Wash', 'Fit Type: regular', 'Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.', 'Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.', 'Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.']",DB01,,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes"
"['Grey Colour Backpack for Men for Stylish Office use as well as for Trendy College and School students. Huge compartment size that can fit upto a 15.6 inch Laptop with easeMultiple pockets for other accessories and water bottle; Capacity: 25 liters; Weight: 500 grams; Dimensions: 30 cms x 20 cms x 42 cms (LxWxH)', 'The backpack features a sleek and ergonomic design with a balanced weight distribution through its strapsThis makes this product a suitable alternative to bulky and unsightly backpacksThe compact design of this backpack helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease', 'USB Charging Point to Charge On the Go - With our attached charging dock, now charing on the go is easier than beforeImportant Note: We do not provide Free Portable Charger with the Bag', 'Warranty- 10 days No Question asked replacement guarantee from the date of delivery6 Month Manufacturer and Seller Warranty', 'Closure Type: Zipper; Color Name: Grey And Red; Age Range Description: Adult; Water Resistance Level: Waterproof; Special Features: Back Padding']",B07J46KLFP,,"[{'Product': 'High Durability', 'Additional Info': 'Made from polyester fabric these backpacks do not wear quickly, they are durable and flexible enough to resist wrinkling and shrinking. The high aesthetic quality of the backpack makes it a truly functional accessory.'}, {'Product': 'Multiple Pockets and Compartments', 'Additional Info': 'Multiple compartments make organizing more fun and easier. Separate pockets to hold a laptop of up to 15inches and also a pocket to hold a tablet, mobile phones, charger and other such essentials. Keep most of your belongings in one bag.'}, {'Product': 'Water-Resistant', 'Additional Info': 'This Fur Jaden backpack is made of water-resistant polymer material. Prevents damage of your belongings inside the bag during rain or sudden splashes.'}, {'Product': 'Lightweight and Spacious', 'Additional Info': 'The backpack is spacious and at the same time very handy. The weight of the backpack by itself is 450 grams and it has a capacity to carry up to 25litres in volume. Making it a breeze to carry around without adding much of a weight to your essentials.'}, {'Product': 'USB Charging Port', 'Additional Info': 'The other essential feature of this backpack is its attached charging dock. Now charge your phone while you’re on the move. Connect your power bank to the docket inside the backpack and use it to charge your phone.'}, {'Product': 'Padded Straps', 'Additional Info': 'Equally distributes the weight on each shoulder with a fitting and stylish shoulder straps. The padded straps prevent any sort of discomfort or pain to the shoulders.'}]"
,Rucksack Bags,,"[{'Product': 'Backpack for Every Needs', 'Additional Info': 'This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,'}, {'Product': 'Space & Comfort', 'Additional Info': 'This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.'}, {'Product': 'Small Pockets', 'Additional Info': 'This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.'}, {'Product': 'Rain / Dust Cover', 'Additional Info': 'This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.'}, {'Product': 'Proudly Made in India', 'Additional Info': ""Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.""}, {'Product': 'Shipped Directly from Factory', 'Additional Info': 'Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible.'}]"
,Floral Printed Diaper Bags_Black,,", perfect gift for men / women / newborn / toddler/ twins / new mother / dad /parents

🖤 Not only diaper bag, it also can be used as weekend equipment, traveling & hiking backpack, casual daypack."
,B01LXNNFDF,,"[{'Product': 'Ergonomically Designed', 'Additional Info': 'The Laptop Bag by Urban Tribe is a well structured and ergonomically designed. It is has spacious compartments as well as an anti-clutter mobile phone charging compartment. The bag is very handy and provides comfort to the user. Carry it in style.'}, {'Product': 'Extra Charging Compartment', 'Additional Info': 'The bag has a separate mobile phone charging compartment to give you an anti-clutter experience while you charge your phone.'}, {'Product': 'Spacious Compartment', 'Additional Info': 'The bag has a spacious main compartment where you can carry your belongings such as your notebooks, pens, laptop, mobile etc. It is perfect for college going students who are looking for design and functionality, all in a single bag.'}, {'Product': 'Withstand heavy weight', 'Additional Info': 'The bag is made of Polyester, making it durable and resistant to water, wear-and-tear thus making it sturdy enough to withstand heavy weight. Carry your laptop, books, mobile, wallet etc. with this bag all at once.'}]"
,1081,,"NORTH ZONE Casual Laptop Backpack Practical trend backpack, both very convenient to incorporate digital equipment, but also to give you large capacity main pockets to put some clothes, some books, bottle or something else. Multipurpose: suitable for business, school, hiking, travelling, camping, sports, school. To meet all your travel needs. Durable: made with superior quality Nylon fabric material and ensured for maximum durability and making the texture become ultra-durable and better ventilation not easy to deformation. This bag will last for many years. Comfortable: breathable mesh and wide shoulder straps with plentiful sponge padding help relieve the stress from your shoulder. You can to adjust the length of the shoulder straps if you need. Well-made and designed: it's attractive and functional looking. The whole backpack were designed and built very well and there are two compartments and reduced burden system designed."
,China,,[]
,Duro,,"[{'Product': 'Convenient Storage', 'Additional Info': 'This rucksack features multiple compartments to store and organise all your daily essentials. The bag comprises of a spacious main compartment. It also has a padded 17-Inch laptop compartment. The front sleeve has dedicated slots for your mobile phones, power banks, notepads, and more.'}, {'Product': 'Sturdy and Durable', 'Additional Info': 'Let the explorer inside you go wild with this sturdy and durable rucksack. The bag is made with high grade polyester material that has high tear-resistant and tensile properties. Additionally, it is supported with air mesh to offer shock resistance in order to protect all your valuables.'}, {'Product': 'Padded Shoulder Straps', 'Additional Info': 'The shoulder straps of this rucksack are ergonomically designed with a padded support to reduce pressure and minimize fatigue while carrying it all day long. An additional soft grip handle is provided on the top to enable manual lifting. This rucksack can be an ideal travel companion.'}]"
"['Internal size - 40.5cm x 30.5cm x 1.7cm, external size- 42cm x 32cm x 3.5cm, compatible with most 15 - 15.6 inch laptop computers or notebook like Macbook Pro/Air/Surface book/HP/Acer/Asus/Samsung Chromebook etc.', 'Extra Storage Space - Two pockets in front, enough space to keeping mouse, cable, cellphone, memory cards, external hard drive, pens,coins etc.', 'Ultra-slim & Lightweight - Slim, portable and lightweight to take alone, or slide it into your briefcase, backpack or any other daybag, perfect for business, school or travel.', 'Shockproof - Multiple Layers Protection, PP foam padding layer and Polyester fabric lining for bump and shock absorption, protect your computer from accidental scratches.', 'Excellent Detail: Use Exquisite zipper and reinforced stitching on all stress points, ensuring the bag does not fall apart when carrying heavy goods. The first verticle designed laptop bag, you will feel the beauty of simple and good texture.']",B09NDTW8SP,"Tabelito Trade India, Tabelito, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala)",[]
,B07PC28YQ9,,The product will be an excellent pick for you. It ensures an easy maintenance.
"['Easy Backpack to carry<br><br>', 'Convenient Handles<br><br>', 'Easy to fold and Store<br><br>', 'Sturdy and Durable<br><br>', 'Closure Type: Zipper; Strap Type: Adjustable; Handle Type: Web Handle<br>']",SSTB1,,[]
"['Care Instructions: Hand Wash Only', 'Fit Type: regular', 'COMFORT WITH QUALITY: This casual Bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Barracks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all boys, girls, men and women.', 'Dimension:33 cms x25 cmsx 46 cms (LxWxh),47 liters; Number of Compartments:4 Laptop Compatibility: Up to 16 Inches Material:Polyester:Water Resistance Level:Waterproof', 'PREMIUM FABRIC : Polyester, Closure Type: Zipper, Gender: Unisex Size: 46 cm X 33 cm X 20cm.; BACK SUPPORT: Air Mash foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily. OTHER FEATURES: Laptop Compartment (can carry laptops of size 15.6 & 17 inches), Reflective Strip makes it very useful for Bike Riders at Night. Age Range Description: Adult; Pattern Name: Self Design; Pocket Description: Utility Pocket; Water Resistance Level: Waterproof', '47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex', 'SCHOOL BAG FOR BOYS GIRLS CLASS 5-12']",444--,,"A Sporty Versatile School Laptop Collage Office Backpack From ROZEN Made Of Polyester. It Has a 3 opening Compartment & 2 For quick & easy access to essential While the mesh padding on the back panel will feel comfortable, even on a hot day. Stylish And Durable Backpack For Office School /College And Travel. Easily Accommodate A Laptop. Size: 46 Cm X 33 Cm X 25 Cm."
"['Premium Durable Material - Travel duffel bag is made of high quality,durable material.', 'Separate Shoes Compartment - Built-in extra shoes compartment with exterior zippers to keep your shoes and clean sport gears separate.', 'Multi-Purpose & Any Occasions - Perfect Duffle Bag for hiking, family holiday, vacation, sports, a short trip, gym, work, beach, used as a overnight bag, a short journey bag, a weekender bag, gym bag, sports duffel bag.', 'Adjustable Shoulder straps - Comfortable and adjustable shoulder strap', 'Abundance of Storage - Large capacity,meet your requirement for sure and keep your stuff in order. What an amazing design for Sport Bag!']",B07XXFB9CZ,,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India."
"['PREMIUM QUALITY MATERIAL: This laptop computer briefcase is made of high-quality water repellent fabric, and well-made of foam pad inside. The laptop briefcase equipped with a removable shoulder strap and a soft carry handle, you can easily switch the carry way you want.', 'LIGHTWEIGHT AND MULTIFUNCTIONAL: It provide a removable shoulder strap, can be use as shoulder bag or handbag base on your need; top handle strap, and comes with adjustable strap with. It will be a good partner for your daily use or business trip.', 'EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag.', 'DIMENSION: External: 16 x 12 x 3 inch; Dimension: 16.5 x 11.5 x 2.5 inch. Suitable for 14-15.6 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement). Great gifts choice for birthday, work anniversary.', ""BENNETT Warranty: Exchange within (6 months) if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you.""]",B09321GJXZ,"Texcoco Enterprices, Texcoco Enterprices, 9958166528","[{'Product': 'LAPTOP MESSENGER BAG FOR BUSINESS', 'Additional Info': 'Suitable for school, work, outdoor activities, vacation and short-term travel etc. It provides a separate laptop compartment fit up to 15.6inch and extra-large space for documents, notebook, charger etc.'}, {'Product': 'TROLLY STRAP FOR TRAVEL', 'Additional Info': 'The laptop briefcase bag comes with a flat pass-through strap along the back, which makes it quite easy to fix the laptop bag on the trolley of your luggage, making your travel and business trip more convenient..'}, {'Product': 'EASY TO CARRY DESIGN', 'Additional Info': 'The laptop briefcase equipped with a removable shoulder strap and a soft carry handle; you can easily switch the carry way you want. The top soft handle, make it more comfortable to carry and use for a long term.'}]"
,LBPASPIRE0104,,Two main compartments. Two additional front pocket and two bottle pocket. Padded cushion back panel and easily adjustable padded shoulder straps with anti sweat fabric underneath. Grab handle and padded laptop sleeve with elastic tape.
"['Care Instructions: Wipe with Damp Cloth', 'Handcrafted with care and made up of premium quality robust material', 'Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side', 'Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket', 'GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty']",2700EBP2BLK,,[]
